"No","Name","Date","Comment","Star"
"1","Okky Pratiwi","06-08-2019","Bisa tahu ongkir sebelum beli adalah kenikmatan yg hakiki dlm berbelanja online. Bukalapak terbaikk, love love pokoknya...","5"
"2","Iwan Kurniawan","06-08-2019","Nice olshop","5"
"3","hermawan sanjaya","06-08-2019","Penggunaan mudah, simpel, gak banyak flash yg bikin lemot","5"
"4","mitra yunedi","06-08-2019","Applikasi beefungsi dg baik dan lancar terimakasih Bukalapak","5"
"5","NewRule W","06-08-2019","kenapa skrg lemot sih respon pelanggan","1"
"6","Ade Abdul","06-08-2019","ya..........","5"
"7","Davie Davi","06-08-2019","E-COMMERCE LAIN NGGAK MENERAPKAN BIAYA TAMBAHAN PENGIRIMAN, TAPI DI BUKALAPAK ADA BIAYA TAMBAHAN MISAL ONGKIR ASLI 22 JADI 24","1"
"8","Daniel Riando","06-08-2019","ok","5"
"9","andy heru","06-08-2019","kemudahan bayar listriknya","5"
"10","bambang pujianto","06-08-2019","good","5"
"11","Indra Syahputra Harahap","06-08-2019","Keren","5"
"12","dewan arta","06-08-2019","so easy, so simple, i like it... thanks bukalapak","5"
"13","Hurnia Prayekti","06-08-2019","ok","4"
"14","Agus Sufriyono","06-08-2019","Harga msh kurang bersaing sm os sebelah. Semoga bs menemukan harga yg lebih kompetitif dan byk promo","4"
"15","Arif Wijaksono","06-08-2019","Tq. atas tanggapan dan perbaikan semoga semakin memudahkan","4"
"16","rio zipsipzip","06-08-2019","good","5"
"17","ivan yeo","06-08-2019","I want to purchase product back to malaysia.... I've browse to all the things into cart.. But I couldn't pay as there isn't any kurier to malaysia... All write ( lokasi diuar service) (tidak dijangkau pelapak) So how am I able to buy product... Pls advice.. Tq","1"
"18","Ivan Aja","06-08-2019","The best online store in Indonesia","5"
"19","wisnu dwi","06-08-2019","nak dek nak nan","4"
"20","Dadan GK","06-08-2019","Aturan Voucher nya skrng di persulit dan di batasi","2"
"21","French Law","06-08-2019","good for buyer and seller","5"
"22","ade tri cahyono","06-08-2019","puas belanja disini n mantabbsss...","5"
"23","Andi Irawan","06-08-2019","good aja","5"
"24","ello realizer","06-08-2019","nice market place for looking motorcycle parts and accessories","5"
"25","Pande Suartana","06-08-2019","good","5"
"26","Ricky Madjan","06-08-2019","harus tetap ada improvement agar customer dan pelapak terus terpuaskan","5"
"27","Muhamad Ariwibowo","06-08-2019","Sangat membantu dan mudah","5"
"28","Pari Eko","06-08-2019","Aplikasi membantu banget...","5"
"29","A'an Nor","06-08-2019","pengen ganti hp baru! ikut serbu seru g pernah dapet 😂 tapi tetep optimis.. ikut terus pantang mundur 😁😁","5"
"30","Adhi Kharisma","06-08-2019","Super App. Interesting!","5"
"31","hendra andrian","06-08-2019","serbu serbu serbu gk menang..","5"
"32","alima alima au dw","06-08-2019","Siiippppp","5"
"33","Ari Sugiharta","06-08-2019","nice !!","5"
"34","Ahmar Taufik Safaat","06-08-2019","harga bervariatif dan bisa pilih kurir sendiri, mantap","5"
"35","Rian Fahminuddin","06-08-2019","Sangat bermanfaat","5"
"36","Anis Malihah","06-08-2019","sangat membantu","5"
"37","Anak Jalanan","06-08-2019","tak bisa tambah alamat tot, ngentot","1"
"38","Fajar surat","06-08-2019","very helpfull","5"
"39","Hanafi tirtayogci","06-08-2019","good","5"
"40","SPP KSB","06-08-2019","👍","4"
"41","ari hidayat","06-08-2019","jozzzz","5"
"42","faisal al-madani","06-08-2019","good","5"
"43","Forum DAS Karawang","06-08-2019","mantap","5"
"44","Faried Hasan","06-08-2019","oke oce","5"
"45","dion perkasa","06-08-2019","keren mudah...","5"
"46","dhulqarnajn","06-08-2019","so far so good","5"
"47","Wied Dodo","06-08-2019","so far ok ! Banyak barang tersedia yg di aplikasi lain tidak ada.","4"
"48","Ibrahim Bin Hamid","06-08-2019","aku suka bukalapak. krena buatan indonesia. kalo tetangga sebelah kurang menarik.","5"
"49","Aditya Agiswara","06-08-2019","mantap","5"
"50","Muh.Rasel randy","06-08-2019","best app, i using from 2014","5"
"51","Mas Alvin","06-08-2019","tidak direkomendasikan buat yg gampang galau lihat barang bagus 😁... kalo milenial mah, wajib install.. lagi nyobain bayar pajak kendaraan pakai buka lapak.. semoga lancar dan mudah seperti transaksi2 sebelumnya..","5"
"52","Didiet Mulyo Adityo","06-08-2019","Mudah berbelanja, banyak pilihan lapak dan metode pembayaran","5"
"53","Anas Fajar","06-08-2019","bagus","5"
"54","Siti Qausun Nasri","06-08-2019","I buy I choose bukalapak","5"
"55","Muhammad Hendra","06-08-2019","mantap, sekarang ada fitur spin and win. semoga ada terus dan vouchernya semakin besar² dan banyak potongan harga atau cashback","4"
"56","Andi Alfianto","06-08-2019","mntap","5"
"57","A Google user","06-08-2019","Good but sometimes an not reach the server. it was when I give 4 stars but after several trys, I can not wait any longer that this apps is a 5 *","5"
"58","Dani Wardiansyah","06-08-2019","kecewa!","5"
"59","Fariz Wibowo","06-08-2019","nice","4"
"60","Nayat Bontot","06-08-2019","👍","5"
"61","Roedy RD Hand","06-08-2019","selalu beli di bukalapak krn mudah caranya","5"
"62","Muhamad Fauzan","06-08-2019","good","5"
"63","nabillah billa","06-08-2019","Good apps shop","5"
"64","Eddy Lie","06-08-2019","buka dompet di bekukan tanpa penjelasan apa2 dan sudah pengaduan lebih dari 2 minggu masih sama saja gk ada informasi yg jelas . nilai dana tertahan 50jt . pikir aja dr tgl 25 juli sampai sekarang 6 agustus 2019 gak ada jawaban ysng fix kapan bisa d cairkan dana saya. .kalo saya bandel dalam hal amb...Full Review","1"
"65","M Gilang Septiawan92","06-08-2019","Thank you Bukalapak","5"
"66","arief mulani","06-08-2019","good","5"
"67","sony ariansyah","06-08-2019","top","5"
"68","Toni Yuli","06-08-2019","beralih dari shoppe kesini. lebih mantap dari pada sebelumnya yg sering lemot aplikasinya.","5"
"69","Gusti Agung Tenarta","06-08-2019","👍👍👍👍👍","5"
"70","cepi cahniadi","06-08-2019","good","3"
"71","A Google user","06-08-2019","Easy to use and quick response","5"
"72","jimmy so","06-08-2019","good la","5"
"73","Awan Kurniawan","06-08-2019","nice","5"
