"No","Name","Date","Comment","Star"
"1","Johandy Huang","06-08-2019","Gak tau salah saya apa... Tiba2 akun dibatasi... Tanpa diberitahu alasannya... Padahal selama ini sudah loyal sama shopee... Saking loyalnya, sampe promosiin ke teman2 semua dan snapcart juga... Taunya malah diperlakukan gini... Ya sudahlah... Mungkin saatnya harus beralih ke marketplace lain... Bye...Full Review","1"
"2","ika fatimah8","06-08-2019","terlalu sering minta update,agak merepotkan ya. bangeettt kebangetan ngrepotin. dikit2 update. apa IT nya ga oke ya?","4"
"3","Selina Smith","06-08-2019","used to love it. now OTP codes are not sent and I tried so many times to ask for resend. talked to the cs and was still not working. disappointed..","1"
"4","Siti Chotimah","06-08-2019","ga bs di buka","3"
"5","RPS Karusman","06-08-2019","ok","4"
"6","Sela Nirmala","06-08-2019","OMG, MAKIN WORST AJA, MASA MAU SINYAL FINE2 AJA, BISA BUKA INTERNET DAN APP YG LAINNYA, MASA SHOPEE GK BISA","1"
"7","Admin Fayolicious","06-08-2019","I've just sign up and tried a refferal voucher from friend, but they said that I have misused the voucher and banned my account. I call CS to fix it and give my id photo as they ask to but it doesn't solve the problem.","1"
"8","Cece Ayang Pratama","06-08-2019","gabisa masukin rek bank","3"
"9","Damayanti Huzai","06-08-2019","good good gooooddd","5"
"10","Dhini Andriiyanii","06-08-2019","good app shoping 😘😘😘","5"
"11","Andy Poltek","06-08-2019","goog","5"
"12","Raisha Justen","06-08-2019","Tidak bisa bayar via shopee pay, sudah hubungi cs dan disarankan untuk logout, clear cache, login tetap tidak bisa. Bahkan Sudah saya coba uninstall lalu install lagi juga tetap tidak bisa bayar via shopee pay. Csnya terlalu ribet.","1"
"13","Miracle Miran","06-08-2019","Aplikasi belanja online terfavorite💕","5"
"14","Laura Surya","06-08-2019","ga bisa bayar pakai Shopee pay","2"
"15","Dwi Ningtias","06-08-2019","udah transfer lbh dr 24 jam statusnya belum dibayar. urusan ama cs berbelit2. hhhh....eneg gw pake aplikasi ini!! semua data udah dikirim td siang. sampe sekarang ga ada solusinya bahkan order batal by system. bener2 ini saya di rugikan. barang yang saya mau ga dpt, uang saya ga jelas kemana. bolak-...Full Review","1"
"16","Almer Rizal","06-08-2019","ini ngapa lewat aplikasi ga bisa? nyari produk jg ga bisa... parah.... tetangga aman aman aja tuh..","1"
"17","novi yanti","06-08-2019","tidak bisa cari barang+buka keranjang kalau pakai mobile data XL padahal pakai wifi baik2 saja. cuman bisa sampai home screen (barang2 rekomen tidak keluar). tolong d perbaiki edit: dulu udah balik sekrang kambuh lagi ckckckck","2"
"18","Herman Hidayat","06-08-2019","makin di update makin lelet.","1"
"19","Dwi Utama Wijaya","06-08-2019","the newest update isn't work on my phone, it can't load anything while my internet connection is really stable","1"
"20","Joe Kenzie","06-08-2019","kenapa sudah beberapa hari saya tidak bisa membuka aplikasi, semua menu tidak dapat ditampilkan, baik sebagai penjual atau pembeli. fix it.","1"
"21","Devi Budiman","06-08-2019","ribet amat mau ganti nomer aja ribet. udah ga butuh client kali ya. cari online shop yg lain aja. bye..","1"
"22","lucky christian","06-08-2019","APP AMPAS MAU MASUK AJA SUSAH AMAT GA BISA2. NGEBLANK AJA TERUS. LUCU.","1"
"23","A Google user","06-08-2019","ok baik","5"
"24","Dikky Kiddie","06-08-2019","mau login aja susah yaa pantekk","1"
"25","lyn 29","06-08-2019","Love it :)","5"
"26","Anita Zein","06-08-2019","This app has been terrible these few months.","1"
"27","ADean Deon","06-08-2019","Sudah 1 minggu tidak bisa menggunakan shopee dan tiba tiba ada pemberitahuan tentang penilaian yg kurang baik. Aneh sekali padahal ga komen atau menilai yg aneh2.","1"
"28","Robbi Subiyanto","06-08-2019","ini kenapa sejak update jadi sering gagal koneksi ya. sering nya jadi ""ups telah terjadi kesalahan, silahkan coba beberapa saat lagi"" . diperbaiki dong. sekarang shopee jadi toko online favorit saya, tp kalau bugs ini berlanjut ya mungkin akan cari alternatif online shop lain edit setelah update 31 ...Full Review","3"
"29","Aan Novianti","06-08-2019","eror terus!","1"
"30","Andriyani Suslandari","06-08-2019","sdh update malah tdk bisa digunakan.. tiap search responnya sdg gangguan terus pdahal sinyal saya kuat, lagi urgent butuh paket data terpaksa deh beli di olshop lain. lama2 shopee bisa ditinggal pelanggan nih","1"
"31","Dara Suoth","06-08-2019","sampe berkali kali install dan uninstall, tetep aja gak maksimal, mau aktivasi shopee pay gak bisa, di hp gak maksimal kebuka aplikasinya di komputer gak ada fitur shopeepay di AKUN SAYA. email ke shopee jawabannya update applikasi (app saya pasti update karna pake wifi 24 jam dirumah) dan shopee bi...Full Review","1"
"32","noname needed","06-08-2019","Topup shopeepay, saldo tidak bertambah, sementara dari bank sudah didebit. Sudah dua hari, bolak balik email cs. Tidak ada progress. Sangat mengecewakan, membuat customer merasa tidak AMAN berbelanja di shopee.","1"
"33","Rosalia Ersal","06-08-2019","Aplikasi nya terlalu berat dan tidak mau loading walaupun sinyalnya kenceng, bahkan bagian searchnya loading terlalu lama, sering terjadi error ketika mau lihat produk padahal aplikasi sudah update terbaru","1"
"34","A Google user","06-08-2019","minusnya cuma 3 : A.jualan susah kecuali yg VIP/berbayar B.gratis ongkir seharusnya ditambah jadi 25-30k, karena di daerah harus bayar 27rb/Kg dipotong gratis ongkir 20rb/Kg = 7000 perkilo cuma kota besar aja yg bisa nikmati pembayaran gratis ongkir RP.0 sunguh tidak adil..!! apalagi teman2 kita di ...Full Review","3"
"35","Ahlul Karom","06-08-2019","ikon aplikasi tidak terlihat di hp realme 3, mohon diselesaikan om","4"
"36","ega dwi astila","06-08-2019","always error. I can't use this app for many times !! *ups, telah terjadi kesalaha.silahkan coba lagi.* just these words that come out when I click anything","2"
"37","Bima Zambora","06-08-2019","good","5"
"38","Sagita Natalia","06-08-2019","g bs akses flash sale, katanya waktu dan lokasi sy tdk tepat.. pdhal jam di hp sm location udh aktif dan tepqt.. sering crash2 gt, gk bs dibuka","2"
"39","Bebby Romero","06-08-2019","Shopee sekarang makin pelit! Koin cuma bisa dipakai 25%, cashback juga cuma 5% doang! Hadehhh kalau ngandelin free ongkir, Buk*lapak, Tokop*dia, Laz*da, Bl*bli, juga bisa free ongkir! Makin lama makin payah nih 👎🏼👎🏼","1"
"40","Alfi S","06-08-2019","woi pepek tempik benerin njing eror mullu lu mntang mntang udh kaya , bnerin cepetan gw mau ngorder govlok kalo ga gw report rame2 ni budjank.","1"
"41","Wd Zyponia","06-08-2019","gila ya shopee parah bener.. saya pesan barang tgl 4 agustus jam 23.35 dan langsung saya bayar.. tetapi saya di tagih oleh penjual bilang nya saya blm melakukan pembayaran, PADAHAL SAYA LANGSUNG BAYAR.. DAN HARI INI SAYA LIAT UPDATE AN DI SISTEM SAYA MELAKUKAN PEMBAYARAN PADA TANGGAL 5 JAM 20.23 YAN...Full Review","1"
"42","Nafsiyatusy Syukriya","06-08-2019","ada email yg bisa d hubungi..aplikasinya error semenjak update","1"
"43","Derrick Ongso","06-08-2019","buat aj promo diskon 100% kan sama aj sama 10% tapi maaf sudah habis.","1"
"44","Maimunah. Iskandar","06-08-2019","makin kesini makin sering susah d akses, sa ya bbrp hr ini susah mencek brg yg sdh dipesan","3"
"45","ferdinan ahmad ibrahim","06-08-2019","pedagang slow respon dan pesanan saya banyak yg d cancel, kecewa belanja disini","1"
"46","Yas Ais","06-08-2019","Buat flash sale tengah malam.. Barang terbatas.. Gitu di bayar tidak terverifikasi.. Barang ga dapat.. Alhasil sia sia ngebelain nunggu.. Sibuk telepon2 customer servise.. Pulsa pun abis... Uninstall aja dah.. Motto masih sama.. Pembeli adalah raja","1"
"47","Roc Raffael","06-08-2019","very nice app and shopee helped me a lot, thx","5"
"48","Hidayat Adiasih","06-08-2019","oops! terjadi kesalahan. coba lagi. gitu terooooossss padahal sinyal kenceng. iklannya akeh tapi platformnya kesalahan terooooossss. padahal dulu gak gini looh. mau belanja malah jadi emosi duluan terooooossss 😤","1"
"49","Brandon Boyd","06-08-2019","terpercaya","5"
"50","Syabia Rahma","06-08-2019","aplikasi stuck...tidak bisa d pake...gak bisa refresh","1"
"51","satia bagdja","06-08-2019","Mohon Maaf Tidak disarankan top up saldo shopeepay melaui BRIVA dll. uang terkirim namun saldo tidak bertambah, komplain ke pusat bantuan via chat tidak efisien, chat suka berakhir dipertengahan obrolan sehingga kasus belum terselesaikan. hubungi chat kembali dan obrolan mulai dari awal lagi.","1"
"52","Supry Ianto","06-08-2019","Ok bgt bosq","5"
"53","Al Köry","06-08-2019","Gooooodd","5"
"54","Murry Christyanto","06-08-2019","sekarang shoppee ga bagus contohnya promo gratis ongkir min 0 ternyata masih saja kena ongkir harusnya bukan gratis ongkir tp subsidi ongkir","3"
"55","Eric Wijaya","06-08-2019","great","5"
"56","Admin","06-08-2019","no sticker????","1"
"57","taher","06-08-2019","eror mulu","1"
"58","Inggrida wisnu S","06-08-2019","""Terjadi kesalahan, silahkan mencoba beberapa saat lagi"" selalu begini error terus padahal sudah di update, uninstall - re instal sama aja. Solusinya bagaimana ya?","1"
"59","Jejak Lombok","06-08-2019","good","5"
"60","Anisah Maysarah","06-08-2019","good app","4"
"61","Reni Yuliani","06-08-2019","Lamaaa loadingnya trus kadang2 off sendiri deh","3"
"62","Jeffrey Munthe","06-08-2019","saya sudah memberikan alamat yang sesuai dengan aplikasi, tetapi tetap muncul notifikasi alamat yang diberikan tidak sah, adakah solusinya?","5"
"63","Cellyn 14","06-08-2019","i like to shop with this app, but currently my app cant even running, then i uninstall and install back the app and thr result still the same, so please fix it. now my homepage cant loading anything, its blank and when i open my shopping basket, chat, feed, etc it cant loading and blank.","2"
"64","Melvin Ginting Mikha","06-08-2019","ok aja","5"
"65","heri gunawan","06-08-2019","Sukaaaa","4"
"66","All In Store","06-08-2019","Gila ini aplikasi keren banget guyysss","5"
"67","dnr chan","06-08-2019","KENAPA TOMBOL BAYAR SEKARANG DIKLIK TAPI KOSONG??????? 4 JAM GW TUNGGUIN KAGAK KELUAR ITU NOMER REKENING!!!! GW MAU BAYAR SEKARANG KARNA BURU2 MAU PAKE ITU BARANG KEBURU LAHIRAN!!!!! BAD AMAT SIH","1"
"68","F Gun","06-08-2019","I used to enjoy using Shopee...but after I installed the July updated app of Shopee (twice), in result, I could NOT pay with debit card coz it keeps loading with no result, while I could smoothly pay with the previous version...sad and confused with the update...what to do???","1"
"69","La Reine","06-08-2019","Setelah di perbarui, error.. Bener2 error... Suruh coba lagi dan coba lagi.. Padahal koneksinya kuat. Heran, udah di perbarui tapi makin kesini makin jelek aplikasinya, padahal dulu fine fine aja. Udah mana sering update tapi bukannya makin bagus malah makin jelek.","2"
"70","Rizky Kestian","06-08-2019","pengalaman tdk menyenankan dgn shopeepay","1"
"71","Budi Astuti","06-08-2019","love this app so much","5"
"72","magie owen","06-08-2019","masalah ga lgsg ditangani lwt chat shopee...beribet harus pindah ke email","3"
"73","Sheed Bientang","06-08-2019","UPDATE SHOPEE malah makin lemoooooot!! walau sinyal bagus. apalagi sinyalnya buruk!!? mau transaksi atau order malah susaaaaah bin lemooooooot!! semua kategori menu tidak bisa dibuka!! MINTA MUAT ULANG TERUS!! akhirnya terpaksa ordernya jadi ke lapak sebelah!! BAGAIMANA INI SHOPEE?? NIAT GAK SIH JAD...Full Review","1"
"74","Dani Hamdani","06-08-2019","Banyak bug , customer service terburuk daripada yang lain . Bila ada trouble sangat lama penyelesaiannya , mengecewakan dan membuat kapok belanja di shopee .","1"
